"Sr. No.",CITY1,CITY2,"PASSENGERS TO CITY2","PASSENGERS FROM CITY2",TOTAL
214,AIZAWL,GUWAHATI,58377,51440,109817
215,INDORE,RAIPUR,56814,52743,109557
216,BENGALURU,DURGAPUR,51591,57695,109286
217,BENGALURU,HUBLI,53897,55348,109245
218,MUMBAI,KANNUR,54838,51793,106631
219,CHENNAI,DURGAPUR,53675,52337,106012
220,BENGALURU,TIRUCHIRAPALLY,54182,51741,105923
221,BENGALURU,BHOPAL,50495,53359,103854
222,CHANDIGARH,CHENNAI,48546,54753,103299
223,HYDERABAD,SURAT,49097,53900,102997
224,DehraDun,LUCKNOW,50734,52008,102742
225,LUCKNOW,PUNE,54092,48378,102470
226,MUMBAI,JABALPUR,49373,52735,102108
227,DELHI,GAYA,51303,50422,101725
228,DELHI,JHARSUGUDA,51111,49518,100629
229,DehraDun,HYDERABAD,50551,49650,100201
230,MUMBAI,JAMNAGAR,51083,48031,99114
231,CHENNAI,VIJAYAWADA,47271,51512,98783
232,GORAKHPUR,HYDERABAD,48629,49716,98345
233,ALLAHABAD,MUMBAI,47913,50361,98274
234,HYDERABAD,MANGALORE,49906,48170,98076
235,DELHI,PORT BLAIR,50471,47229,97700
236,MUMBAI,DURGAPUR,47344,49373,96717
237,KOCHI,KOLKATA,46443,49887,96330
238,AMRITSAR,KOLKATA,49021,47164,96185
239,BENGALURU,KOZHIKODE,46254,49724,95978
240,HYDERABAD,UDAIPUR,47003,48675,95678
241,INDORE,KOLKATA,48811,46558,95369
242,AGARTALA,BENGALURU,50176,44993,95169
243,CHENNAI,LUCKNOW,47102,46109,93211
244,CHENNAI,RANCHI,43879,49301,93180
245,JAMMU,LEH,30020,62995,93015
246,BENGALURU,JODHPUR,45160,47316,92476
247,BENGALURU,UDAIPUR,45581,46207,91788
248,CHANDIGARH,JAIPUR,48232,43518,91750
249,BENGALURU,RAJKOT,44915,46769,91684
250,GUWAHATI,SILCHAR,45022,46223,91245
251,BENGALURU,RAJAHMUNDRY,43568,46408,89976
252,BENGALURU,KANNUR,43337,45858,89195
253,DARBHANGA,HYDERABAD,46586,42513,89099
254,CHENNAI,PATNA,43960,44994,88954
255,LUCKNOW,PATNA,44640,43786,88426
256,GUWAHATI,PUNE,43486,44692,88178
257,JORHAT,KOLKATA,41909,45037,86946
258,COIMBATORE,PUNE,45746,40825,86571
259,DIBRUGARH,GUWAHATI,53736,32686,86422
260,AMRITSAR,PUNE,42511,43778,86289
261,ALLAHABAD,BENGALURU,43572,42598,86170
262,PATNA,RANCHI,43164,42573,85737
263,CHANDIGARH,PATNA,41665,43303,84968
264,DABOLIM,INDORE,42521,42419,84940
265,CHANDIGARH,LUCKNOW,40206,44060,84266
266,GUWAHATI,LUCKNOW,43086,40603,83689
267,CHENNAI,VARANASI,40311,41638,81949
268,HYDERABAD,TIRUCHIRAPALLY,40983,39574,80557
269,LEH,SRINAGAR,67940,12480,80420
270,Goa,HYDERABAD,40569,39660,80229
271,GUWAHATI,PATNA,38290,41920,80210
272,AHMEDABAD,NAGPUR,40118,39872,79990
273,AHMEDABAD,KOCHI,41437,38549,79986
274,DABOLIM,JAIPUR,39859,39330,79189
275,LUCKNOW,RANCHI,38424,40052,78476
276,JAIPUR,SURAT,38914,39495,78409
277,CHANDIGARH,KOLKATA,34523,41803,76326
278,DABOLIM,NAGPUR,37533,35411,72944
279,BENGALURU,KANPUR,33593,38850,72443
280,DURGAPUR,HYDERABAD,36430,34621,71051
281,HYDERABAD,MYSORE,36490,34318,70808
282,AURANGABAD,HYDERABAD,36770,32529,69299
283,CHENNAI,SURAT,34387,34788,69175
284,HYDERABAD,JODHPUR,33969,34588,68557
285,DARBHANGA,KOLKATA,36263,32098,68361
286,AMRITSAR,BENGALURU,33738,33853,67591
287,BELGAUM,BENGALURU,33483,33416,66899
288,AHMEDABAD,INDORE,32521,33269,65790
289,CHENNAI,INDORE,32350,33280,65630
290,DELHI,DIMAPUR,32089,33167,65256
291,AHMEDABAD,BAGDOGRA,33123,31013,64136
292,BENGALURU,KALABURAGI,32048,31803,63851
293,BELGAUM,HYDERABAD,32075,30528,62603
294,CHENNAI,KOZHIKODE,31060,31236,62296
295,DELHI,NASIK,30627,31446,62073
296,BAREILLY,MUMBAI,30658,31130,61788
297,CHENNAI,RAIPUR,30294,30460,60754
298,BAGDOGRA,DIBRUGARH,33356,26835,60191
299,DELHI,GWALIOR,27102,32870,59972
300,HYDERABAD,SRINAGAR,30429,29425,59854
301,HYDERABAD,KOLHAPUR,30348,29381,59729
302,DehraDun,JAIPUR,31877,27620,59497
303,BHUBANESWAR,PATNA,29945,29199,59144
304,AGRA,BENGALURU,29862,28726,58588
305,DELHI,Deoghar ,29488,28666,58154
306,PUNE,TRIVANDRUM,29324,28741,58065
307,DELHI,MANGALORE,29118,28849,57967
308,MUMBAI,KANDLA,28407,27692,56099
309,BENGALURU,GWALIOR,27806,28025,55831
310,DELHI,TIRUPATI,30330,24798,55128
311,DELHI,JAISALMER,27451,27674,55125
312,INDORE,JAIPUR,27891,26899,54790
313,BELGAUM,DELHI,28052,26594,54646
314,BHOPAL,HYDERABAD,28075,26393,54468
315,HYDERABAD,PORT BLAIR,26491,27969,54460
316,AHMEDABAD,BHUBANESWAR,27507,26620,54127
317,DELHI,PANTNAGAR,26477,26411,52888
318,HYDERABAD,NAGPUR,25534,26823,52357
319,HYDERABAD,JABALPUR,25156,26915,52071
320,HYDERABAD,PONDICHERRY,25877,25359,51236
321,MUMBAI,TIRUPATI,26257,24840,51097
322,BAREILLY,BENGALURU,25866,25228,51094
323,GAYA,KOLKATA,27591,23037,50628
324,PUNE,RAIPUR,24698,25167,49865
325,CHENNAI,NAGPUR,26624,23086,49710
326,INDORE,NAGPUR,24458,24640,49098
327,AHMEDABAD,AMRITSAR,23717,24966,48683
328,CHENNAI,MYSORE,24032,24518,48550
329,CHENNAI,MANGALORE,24712,23793,48505
330,INDORE,LUCKNOW,23237,25163,48400
331,CHENNAI,RAJAHMUNDRY,22719,25397,48116
332,MUMBAI,HUBLI,24481,23335,47816
333,BENGALURU,TIRUPATI,23937,23760,47697
334,GORAKHPUR,KOLKATA,24388,23241,47629
335,JAIPUR,LUCKNOW,23595,23457,47052
